Year,STATE,Total_Fires,Total_Fire_Size
1997,NH,4,8.75
1997,NJ,23,108.5
1997,NM,504,37082.0
1997,NV,372,24833.0
1997,NY,15,29.0
1997,OK,80,428.6
1997,OR,1106,17209.89
1997,SC,36,614.2
1997,SD,90,350.46
1997,TN,11,316.9
1997,TX,61,8121.3
1997,UT,476,16737.0
1997,VA,43,726.8
1997,WA,355,13096.0
1997,WI,14,19.59
1997,WV,3,50.2
1997,WY,123,2016.5
1998,AK,48,119370.1
1998,AL,50,404.7
1998,AR,100,1601.7
1998,AZ,836,12829.7
1998,CA,1041,20675.2
1998,CO,515,4180.7
1998,CT,1,2.0
1998,FL,1638,228363.6
1998,GA,514,10123.76
1998,ID,1144,118916.4
1998,IN,2,0.2
1998,KS,7,3285.4
1998,KY,4,318.0
1998,LA,19,4044.5
1998,MD,1,1.0
1998,ME,1,2.0
1998,MI,12,132.9
1998,MN,79,399.57
1998,MS,29,185.2
1998,MT,895,72435.8
1998,NC,100,1796.5
1998,ND,26,1972.5
1998,NE,20,8175.8
1998,NH,8,9.25
1998,NJ,10,140.75
1998,NM,350,14602.4
1998,NV,416,57623.1
1998,NY,9,10.0
1998,OK,57,518.4
1998,OR,1405,30931.62
1998,PA,1,0.1
1998,SC,80,1078.1000000000001
1998,SD,129,2025.33
1998,TN,6,443.3
1998,TX,232,6337.9
1998,UT,414,39810.8
1998,VA,29,1023.8000000000001
1998,WA,481,68825.1
1998,WI,39,38.809999999999995
1998,WV,4,11.0
1998,WY,128,3438.4
1999,AK,157,981225.5
1999,AL,63,862.5
1999,AR,120,967.5
1999,AZ,1073,53389.25
1999,CA,1605,425208.8
1999,CO,519,13972.4
1999,CT,7,57.5
1999,FL,1506,156394.9
1999,GA,509,5110.0
1999,ID,998,308357.3
1999,KS,4,3.9
1999,KY,18,694.0
1999,LA,10,1475.1
1999,MD,3,11.1
1999,ME,3,6.8
1999,MI,6,81.5
1999,MN,17,30.220000000000002
1999,MO,10,99.0
1999,MS,39,403.0
1999,MT,755,63483.299999999996
1999,NC,85,2896.0
1999,ND,7,141.4
1999,NE,18,1819.2
1999,NH,1,0.2
1999,NJ,20,20.5
1999,NM,473,28130.1
1999,NV,573,1530579.0
1999,NY,31,416.0
1999,OK,187,1024.1
1999,OR,1471,30491.11
1999,PA,1,32.0
1999,SC,146,1920.6
1999,SD,92,1492.6599999999999
1999,TN,23,674.0
1999,TX,72,3565.6
1999,UT,471,35038.5
1999,VA,126,2100.0
1999,VT,1,1.5
1999,WA,402,4596.7
1999,WI,18,77.9
1999,WV,43,482.9
1999,WY,114,4482.5
2000,AK,83,740918.6
2000,AL,265,10769.8
2000,AR,185,2851.0
2000,AZ,2348,44098.3
2000,CA,889,9133.5
2000,CO,1383,80277.90000000001
2000,CT,1,0.1
2000,FL,1649,73063.8
2000,GA,705,5952.75
2000,ID,1060,1241324.9000000001
2000,IL,1,14.0
2000,KS,5,25.4
2000,KY,12,1227.2
2000,LA,13,4954.1
2000,MD,2,40.0
2000,MI,7,70.7
2000,MN,19,53.32
2000,MO,9,200.0
2000,MS,154,1691.0
2000,MT,1479,647936.76
2000,NC,60,610.8
2000,ND,43,3649.0
2000,NE,56,112871.2
2000,NH,3,3.75
2000,NJ,10,13.0
2000,NM,1603,124496.19
2000,NV,717,600903.3
2000,NY,53,44.910000000000004
2000,OK,156,13384.8
2000,OR,662,301974.5
2000,PA,1,300.0
2000,SC,195,2224.2
2000,SD,537,157787.062
2000,TN,30,500.1
2000,TX,246,86996.6
2000,UT,1165,183044.9
2000,VA,45,1199.4
2000,WA,255,77755.9
2000,WI,24,123.41
2000,WV,15,3247.7999999999997
2000,WY,402,359522.5
2001,AK,29,10465.3
2001,AL,35,1282.6
2001,AR,86,910.9
2001,AZ,1446,27255.100000000002
2001,CA,1486,150953.9
2001,CO,1080,16308.6
2001,CT,1,1.0
2001,FL,1285,184995.9
2001,GA,220,17760.51
2001,ID,831,112215.5
2001,IL,4,19.3
2001,IN,2,0.30000000000000004
2001,KS,2,6.0
2001,KY,7,13.6
2001,LA,13,15276.0
2001,MA,2,7.1
2001,MD,1,0.5
2001,ME,3,5.7
2001,MI,23,103.5
2001,MN,23,43.53
2001,MO,4,10.5
2001,MS,20,338.3
2001,MT,645,149310.95
2001,NC,85,309.4
2001,ND,6,15.6
2001,NE,22,1650.8
2001,NH,4,4.1
2001,NJ,8,2.0
2001,NM,1047,48708.32
2001,NV,851,551799.6
2001,NY,96,245.82
2001,OK,149,1419.1
2001,OR,2064,360406.79
2001,PA,1,0.1
2001,SC,90,1366.1000000000001
2001,SD,249,15583.9
2001,TN,12,115.7
2001,TX,52,12370.3
2001,UT,1024,87442.3
2001,VA,44,1834.6
2001,WA,293,126256.5
2001,WI,23,7.489999999999999
2001,WV,16,172.2
2001,WY,441,57481.1
2002,AK,170,1766101.3
2002,AL,66,1396.9
2002,AR,33,448.3
2002,AZ,1212,33823.5
2002,CA,647,32287.5
2002,CO,994,209414.85
2002,DE,7,2.5
2002,FL,679,20443.8
2002,GA,494,128410.47
2002,ID,905,71327.2
2002,IN,2,0.2
2002,KS,12,247.2
2002,KY,4,7.5
2002,LA,24,9256.8
2002,MA,10,122.6
2002,MD,4,175.1
2002,ME,2,1.1
2002,MI,16,33.6
2002,MN,45,786.28
2002,MO,1,150.0
2002,MS,15,131.4
2002,MT,789,103636.87000000001
2002,NC,265,2240.2
2002,ND,25,16823.7
2002,NE,47,851.9
2002,NH,15,21.07
2002,NJ,27,34.5
2002,NM,1182,249226.74
2002,NV,480,47113.6
2002,NY,252,1003.05
2002,OH,4,60.9
2002,OK,164,764.2
2002,OR,1358,979708.32
2002,PA,50,424.554859
2002,SC,264,2965.4
2002,SD,407,13882.3
2002,TN,21,672.7
2002,TX,67,8213.3
2002,UT,654,145819.4
2002,VA,181,6460.5
2002,WA,401,14456.4
2002,WI,27,374.82
2002,WV,8,8.2
2002,WY,435,131564.6
2003,AK,80,579423.7
2003,AL,2,7.1
2003,AR,47,505.45
2003,AZ,1678,90142.38
2003,CA,1950,176510.18
2003,CO,1379,19042.1
2003,FL,418,22013.11
2003,GA,64,188.06
2003,HI,1,40.0
2003,ID,916,228393.93
2003,IL,1,600.0
2003,IN,2,1.1
2003,KS,11,253.9
2003,LA,29,8127.7
2003,MA,2,0.2
2003,ME,35,22.46
2003,MI,27,77.56
2003,MN,39,803.41
2003,MO,12,37.83
2003,MS,4,18.0
2003,MT,1358,655249.51019
2003,NC,13,187.6
2003,ND,22,2474.6
2003,NE,29,671.32
2003,NH,2,0.73
2003,NJ,2,0.5
2003,NM,1370,201738.555
2003,NV,523,12293.45
2003,NY,281,161.69
2003,OK,44,2346.6
2003,OR,1226,121509.59
2003,PA,6,35.1
2003,SC,11,69.6
2003,SD,320,32377.36
2003,TX,56,25794.7
2003,UT,984,32998.15
2003,VA,3,4.2
2003,VT,1,1.0
2003,WA,368,132366.46
2003,WI,23,51.96
2003,WV,7,12.7
2003,WY,482,83025.1
2004,AK,274,6572470.70019
2004,AL,10,155.4
2004,AR,11,898.1
2004,AZ,1526,184891.62
2004,CA,1087,21185.3
2004,CO,901,22623.26
2004,CT,1,0.1
2004,FL,922,79321.71
2004,GA,186,1604.96999
2004,HI,1,656.0
2004,IA,1,59.1
2004,ID,676,12308.42
2004,IL,1,0.1
2004,IN,2,1.1
2004,KS,2,2.1
2004,KY,1,6.0
2004,LA,28,6578.799999999999
2004,MA,2,0.6
2004,MI,21,266.46
2004,MN,38,1955.59
2004,MO,3,1.2000000000000002
2004,MS,3,5.0
2004,MT,698,16237.94
2004,NC,35,184.5
2004,ND,21,1876.57
2004,NE,24,520.32
2004,NH,1,0.5
2004,NJ,3,0.75
2004,NM,782,75934.5
2004,NV,667,26200.6
2004,NY,282,162.8
2004,OK,10,114.0
2004,OR,1223,6609.3
2004,PA,1,1.5
2004,SC,68,761.2
2004,SD,244,4156.44
2004,TN,1,75.4
2004,TX,30,3894.4
2004,UT,994,76130.3
2004,VA,8,213.54999999999998
2004,VT,1,0.1
2004,WA,727,59852.77
2004,WI,22,28.64
2004,WV,1,0.1
2004,WY,186,2643.42
2005,AK,325,4623161.402
2005,AL,10,75.85
2005,AR,134,2639.90001
2005,AZ,1190,666335.37
2005,CA,695,99080.48
2005,CO,745,26277.420000000002
2005,DE,1,0.1
2005,FL,284,8316.8
2005,GA,57,276.51
2005,ID,644,503054.73000000004
2005,IL,2,225.1
2005,IN,3,0.30000000000000004
2005,KS,4,1.7
2005,KY,1,1.0
2005,LA,1790,43088.55
2005,MA,2,0.2
2005,MD,6,32.7
2005,ME,18,5.6
2005,MI,85,177.79
2005,MN,63,1461.33
2005,MO,3,5.6
2005,MS,11,269.01
2005,MT,518,73778.63
2005,NC,53,473.9
2005,ND,26,125.6
2005,NE,16,361.6
2005,NJ,5,6.0
2005,NM,849,115448.86
2005,NV,497,1045235.4
2005,NY,521,275.04
2005,OK,27,3835.6
2005,OR,643,109606.86
2005,PA,10,59.022999999999996
2005,SC,34,481.2
2005,SD,368,31120.49001
2005,TN,9,5.7
2005,TX,273,63653.5
2005,UT,721,174227.66
2005,VA,16,618.7
2005,WA,160,324.3
2005,WI,49,31.09
2005,WV,9,122.69999999999999
2005,WY,226,10574.62
